"Wall Schedule"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Family"	"Base Constraint"	"Top Offset"	"Top Constraint"	"Unconnected Height"	"Volume"	"Area"	"Width"	"Length"	"Type"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"3.13 m³"	"16 m²"	"200"	"3975"	"CG - 200mm"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"3.02 m³"	"12 m²"	"250"	"3144"	"CG - 250"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"2.89 m³"	"12 m²"	"240"	"3128"	"CG - 240"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"2.73 m³"	"8 m²"	"360"	"1949"	"CG - 360"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"2.59 m³"	"7 m²"	"360"	"1921"	"CG - 360"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"2.59 m³"	"26 m²"	"100"	"7231"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"2.56 m³"	"10 m²"	"250"	"2508"	"CG - 250"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"2.56 m³"	"11 m²"	"240"	"2540"	"CG - 240"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"2.55 m³"	"26 m²"	"100"	"7272"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"2.06 m³"	"21 m²"	"100"	"6051"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"1.87 m³"	"19 m²"	"100"	"4551"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"1.82 m³"	"18 m²"	"100"	"4610"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"1.82 m³"	"18 m²"	"100"	"4610"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"1.82 m³"	"18 m²"	"100"	"4610"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"1.82 m³"	"18 m²"	"100"	"4610"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"1.82 m³"	"18 m²"	"100"	"4610"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"1.82 m³"	"18 m²"	"100"	"4610"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"1.82 m³"	"18 m²"	"100"	"4610"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"1.82 m³"	"18 m²"	"100"	"4610"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"1.82 m³"	"18 m²"	"100"	"4610"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"1.82 m³"	"18 m²"	"100"	"4605"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"1.82 m³"	"18 m²"	"100"	"4605"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"1.82 m³"	"18 m²"	"100"	"4605"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"1.81 m³"	"18 m²"	"100"	"4480"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"1.77 m³"	"18 m²"	"100"	"4475"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"1.77 m³"	"18 m²"	"100"	"4475"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"1.77 m³"	"18 m²"	"100"	"4475"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"1.53 m³"	"15 m²"	"100"	"3975"	"CG - 100"
